artist_name,track_name,release_date,genre
blind melon,i wonder,1992,pop
peter cetera,restless heart,1992,pop
ice cube,the predator,1992,pop
soul asylum,without a trace,1992,pop
buffalo tom,taillights fade,1992,pop
social distortion,this time darlin',1992,pop
brian mcknight,after the love,1992,pop
yordano,por estas calles,1992,pop
sugar,hoover dam,1992,pop
swv,it's about time,1992,pop
madonna,fever,1992,pop
pepe aguilar,estas fallando,1992,pop
tito rojas,amor del bueno,1992,pop
céline dion,nothing broken but my heart,1992,pop
4 non blondes,calling all the people,1992,pop
nofx,straight edge,1992,pop
ice cube,gangsta's fairytale 2,1992,pop
sinéad o'connor,don't cry for me argentina,1992,pop
social distortion,ghost town blues,1992,pop
suzanne vega,blood makes noise,1992,pop
sonic youth,100%,1992,pop
cracker,happy birthday to me,1992,pop
annie lennox,primitive,1992,pop
catherine wheel,i want to touch you,1992,pop
they might be giants,the guitar,1992,pop
samantha fox,touch me (i want your body),1992,pop
ice cube,now i gotta wet 'cha,1992,pop
blind melon,change,1992,pop
xtc,dear madam barnum,1992,pop
green day,words i might have ate,1992,pop
4 non blondes,drifting,1992,pop
tracy chapman,matters of the heart,1992,pop
babes in toyland ,bruise violet,1992,pop
mary j. blige,intro talk,1992,pop
no doubt,ache,1992,pop
they might be giants,statue got me high,1992,pop
green day,sweet children,1992,pop
mary j. blige,leave a message,1992,pop
the sundays,i feel,1992,pop
a tribe called quest,hot sex,1992,pop
greg brown,just by myself,1992,pop
gang starr,take it personal,1992,pop
too $hort,so you want to be a gangster,1992,pop
the lemonheads,it's a shame about ray,1992,pop
nofx,stickin in my eye,1992,pop
green day,2000 light years away,1992,pop
television,1880 or so,1992,pop
the elgins,heaven must have sent you,1992,pop
saint etienne,only love can break your heart,1992,pop
pennywise,stand by me,1992,pop
bad religion,generator,1992,pop
the left banke,walk away renee,1992,pop
céline dion,where does my heart beat now,1992,pop
barenaked ladies,"if i had $1,000,000",1992,pop
swv,weak,1992,pop
mary j. blige,real love,1992,pop
whitney houston,i have nothing,1992,pop
annie lennox,walking on broken glass,1992,pop
ice cube,it was a good day,1992,pop
"10,000 maniacs",these are days,1992,pop
en vogue,free your mind,1992,pop
mary j. blige,love no limit,1992,pop
stone temple pilots,wicked garden,1992,pop
mary j. blige,reminisce,1992,pop
sugar,if i can't change your mind,1992,pop
en vogue,giving him something he can feel,1992,pop
barenaked ladies,brian wilson,1992,pop
swv,you're always on my mind,1992,pop
inxs,beautiful girl,1992,pop
the lemonheads,mrs. robinson,1992,pop
mary j. blige,my love,1992,pop
stone temple pilots,sin,1992,pop
social distortion,99 to life,1992,pop
no doubt,trapped in a box,1992,pop
tasmin archer,sleeping satellite,1992,pop
chanté moore,love's taken over,1992,pop
green day,christie rd.,1992,pop
whitney houston,something in common,1992,pop
shakespears sister,stay,1992,pop
social distortion,making believe,1992,pop
bobby brown,get away,1992,pop
xtc,ballad of peter pumpkinhead,1992,pop
4 non blondes,spaceman,1992,pop
rick price,heaven knows,1992,pop
barenaked ladies,be my yoko ono,1992,pop
phish,stash,1992,pop
catherine wheel,black metallic,1992,pop
the black crowes,thorn in my pride,1992,pop
"10,000 maniacs",candy everybody wants,1992,pop
peter gabriel,blood of eden,1992,pop
social distortion,cold feelings,1992,pop
whitney houston,jesus loves me,1992,pop
green day,welcome to paradise,1992,pop
r.e.m.,try not to breathe,1992,pop
nofx,please play this song on the radio,1992,pop
boyz ii men,let it snow,1993,pop
the cranberries,still can't...,1993,pop
sarah mclachlan,elsewhere,1993,pop
sarah mclachlan,ice cream,1993,pop
jellyfish,new mistake,1993,pop
the cranberries,not sorry,1993,pop
céline dion,the colour of my love,1993,pop
phish,rift,1993,pop
catherine wheel,crank,1993,pop
sarah mclachlan,fear,1993,pop
kate bush,why should i love you?,1993,pop
swirlies,pancake,1993,pop
céline dion,when i fall in love,1993,pop
ace of base,living in danger,1993,pop
kim carnes,more love,1993,pop
sheryl crow,d'yer mak'er,1993,pop
sheryl crow,i shall believe,1993,pop
mazzy star,mary of silence,1993,pop
the cranberries,waltzing back,1993,pop
mc lyte,ruffneck,1993,pop
the cranberries,how,1993,pop
ace of base,happy nation,1993,pop
sarah mclachlan,good enough,1993,pop
the cranberries,liar,1993,pop
snoop dogg,gin and juice (feat. dat nigga daz),1993,pop
faith hill,take me as i am,1993,pop
cracker,euro-trash girl,1993,pop
snoop dogg,who am i (what's my name)?,1993,pop
glass tiger,someday,1993,pop
björk,crying,1993,pop
björk,there's more to life than this,1993,pop
mariah carey,never forget you,1993,pop
james,say something,1993,pop
tony! toni! toné!,anniversary,1993,pop
tears for fears,goodnight song,1993,pop
carole king,now and forever,1993,pop
lucky dube,remember me,1993,pop
mazzy star,unreflected,1993,pop
queen latifah,just another day...,1993,pop
janet jackson,this time,1993,pop
ice cube,really doe,1993,pop
the queers,fuck the world,1993,pop
bad religion,skyscraper,1993,pop
the cranberries,pretty,1993,pop
xscape,is my living in vain,1993,pop
sebadoh,soul and fire,1993,pop
ice cube,you know how we do it,1993,pop
new order,regret,1993,pop
sheryl crow,strong enough,1993,pop
jellyfish,joining a fan club,1993,pop
xscape,just kickin' it,1993,pop
cocteau twins,know who you are at every age,1993,pop
rancid,hyena,1993,pop
sarah mclachlan,fumbling towards ecstasy,1993,pop
the fleetwoods,outside my window,1993,pop
yanni,only a memory,1993,pop
crowded house,distant sun,1993,pop
jamiroquai,emergency on planet earth,1993,pop
cocteau twins,evangeline,1993,pop
björk,aeroplane,1993,pop
the five satins,in the still of the night,1993,pop
björk,human behaviour,1993,pop
babyface,when can i see you,1993,pop
big head todd and the monsters,bittersweet,1993,pop
candlebox,you,1993,pop
toni braxton,how many ways,1993,pop
tony! toni! toné!,(lay your head on my) pillow,1993,pop
ace of base,don't turn around,1993,pop
björk,venus as a boy,1993,pop
sarah mclachlan,possession,1993,pop
the smashing pumpkins,luna,1993,pop
candlebox,cover me,1993,pop
the fleetwoods,mr. blue,1993,pop
a tribe called quest,oh my god,1993,pop
betty everett,the shoop shoop song (it's in his kiss),1993,pop
snoop dogg,g funk (intro),1993,pop
the breeders,cannonball,1993,pop
the tokens,the lion sleeps tonight (wimoweh),1993,pop
janet jackson,that's the way love goes,1993,pop
the smashing pumpkins,today,1993,pop
the cranberries,dreams,1993,pop
